公路編號,樁號,編碼樁號,交流道名稱,南（東）向出口預告地名,北（西）向出口預告地名,縣市,鄉鎮市區,備註,TWD97-X,TWD97-Y,WGS84-X,WGS84-Y,工程處,工務段
台82,30,P0820030,中和交流道,嘉義;白河,白河;嘉義,嘉義縣,水上鄉,,189976.5,2590981.2,120.412647,23.42060209,第五區養護工程處,水上工務段
台82,32,P0820032,嘉義交流道,"中埔,嘉義;白河","白河;中埔,嘉義",嘉義縣,水上鄉,,192457,2591696.4,120.436891,23.42714967,第五區養護工程處,水上工務段
台82,34,P0820034,水上系統交流道,,,嘉義縣,水上鄉,"(虛擬牌面,現地無牌面)",195218.3,2592155.8,120.4638954,23.43139311,第五區養護工程處,水上工務段
台84,0,P0840000,北門交流道,,"台61線,將軍;台61線,布袋;台17線,北門",臺南市,學甲區,,163358.8,2574723.2,120.153132,23.272607,第五區養護工程處,新營工務段
台84,1,P0840001,北門交流道,"台17線,北門","台61線,將軍;台61線,布袋",臺南市,北門區,(現地牌面數字宜更正為10),160743.8,2575579.6,120.1275246,23.28019912,第五區養護工程處,新營工務段
台84,8,P0840008,學甲交流道,"台19線,鹽水;台19線,學甲","台19線,學甲;台19線,鹽水",臺南市,學甲區,,165955.3,2574016.2,120.1785489,23.26635756,第五區養護工程處,新營工務段
台84,14,P0840014,下營系統交流道,"國道1號,新營;國道1號,麻豆","國道1號,麻豆;國道1號,新營",臺南市,麻豆區,,170474.1,2569639.8,120.2229408,23.22706583,第五區養護工程處,新營工務段
台84,17,P0840017,麻豆交流道,"台19甲線,下營;台19甲線,麻豆","台19甲線,麻豆;台19甲線,下營",臺南市,下營區,,174351.8,2566987.2,120.26096,23.20329561,第五區養護工程處,新營工務段
台84,21,P0840021,西庄交流道,西庄,,臺南市,麻豆區,,176285.8,2565065.9,120.2799457,23.18603495,第五區養護工程處,新營工務段
台84,21,P0840021,西?交流道,,西庄,臺南市,官田區,,178703.6,2564401.2,120.3035929,23.18013887,第五區養護工程處,新營工務段
台84,21,P0840021,西庄交流道,,西庄,臺南市,官田區,,179557.4,2563880.9,120.3119559,23.17547757,第五區養護工程處,新營工務段
台84,26,P0840026,渡頭交流道,"國道3號,嘉義,台南;台1線,官田,善化","台1線,官田,善化",臺南市,官田區,,180700,2563201.3,120.3231468,23.16938862,第五區養護工程處,新營工務段
台84,27,P0840027,官田系統交流道,,"台1線,善化,官田;國道3號,台南,嘉義",臺南市,官田區,,184315.3,2562918.1,120.3584679,23.16697943,第五區養護工程處,新營工務段
台84,32,P0840032,頭社交流道,頭社;大內,大內;頭社,臺南市,大內區,,185280.1,2560511.8,120.3679929,23.14528824,第五區養護工程處,新營工務段
台84,35,P0840035,二溪交流道,大匏崙;二溪,二溪;大匏崙,臺南市,大內區,,187823.7,2559979.9,120.3928522,23.14058316,第五區養護工程處,新營工務段
台86,0,P0860000,台南端,,,臺南市,南區,"(虛擬牌面,現地無牌面)",165521.1,2537416.7,120.176323,22.935854,第五區養護工程處,新化工務段
台86,2,P0860002,灣裡交流道,台南,台南,臺南市,南區,,166233.2,2537339.4,120.1832697,22.93519182,第五區養護工程處,新化工務段
台86,5,P0860005,台南交流道,"台1線,台南;台1線,湖內","台1線,湖內,路竹;台1線,台南",臺南市,仁德區,,169531.2,2536464.8,120.2154685,22.92745597,第五區養護工程處,新化工務段
台86,8,P0860008,仁德系統交流道,"國道1號,台南;國道1號,路竹","國道1號,路竹;國道1號,台南",臺南市,仁德區,,172558.5,2538259.9,120.2448912,22.94380914,第五區養護工程處,新化工務段
台86,10,P0860010,上崙交流道,歸仁;仁德,仁德;歸仁,臺南市,仁德區,,173800.8,2537647.8,120.2570337,22.93833908,第五區養護工程處,新化工務段
台86,11,P0860011,大潭交流道,"歸仁;大潭,高鐵","大潭,高鐵;歸仁",臺南市,歸仁區,,175429.2,2536948.9,120.2729438,22.93210165,第五區養護工程處,新化工務段
台86,16,P0860016,歸仁交流道,歸仁;關廟,歸仁,臺南市,歸仁區,,178663,2538728.3,120.3043889,22.94831089,第五區養護工程處,新化工務段
台86,18,P0860018,關廟交流道,,,臺南市,關廟區,"(虛擬牌面,現地無牌面)",179711.2,2541392.8,120.314488,22.97241636,第五區養護工程處,新化工務段
台88,0,P0880000,五甲系統交流道,,,高雄市,鳳山區,"(虛擬牌面,現地無牌面)",182311.9,2499922.1,120.341651,22.598028,第三區養護工程處,鳳屏工務段
台88,2,P0880002,鳳山交流道,"鳳山;小港,機場","小港,機場;鳳山",高雄市,鳳山區,,182823,2499272.4,120.346649,22.59218,第三區養護工程處,鳳屏工務段
